id	name	latitude	longitude	url	question	answer1	answer2	answer3	correct	created_at	updated_at	author	hiragana
1	清水寺	34.9955	135.783	http://ja.wikipedia.org/wiki/清水寺	810年の薬子の変では平城上皇の脱出を阻止する働きをしたのは誰？	坂上田村麻呂	藤原仲成	文室綿麻呂	1	2013-01-26 04:21:20	2013-02-22 06:54:25	國居	きよみずでら
2	龍安寺	35.0345	135.718	http://www.ryoanji.jp/top.html	龍安寺石庭の石の数は？	9個	12個	15個	3	2013-01-26 07:25:51	2013-02-22 06:54:53	臼谷	りょうあんじ
3	京都タワー	34.9875	135.759	http://www.kyoto-tower.co.jp	京都駅の真正面に見える京都タワー。 京都タワービルの地下にある施設は何？	レストラン	宴会場	大浴場	3	2013-01-29 04:05:15	2013-02-22 07:27:13	臼谷	きょうとたわー
4	JR京都駅	34.9855	135.758	http://ja.wikipedia.org/wiki/京都駅	日本一長いホームとして知られるJR京都駅のホームの長さは？	558m	672m	773m	1	2013-02-02 04:35:21	2013-02-22 06:55:54	臼谷	じぇーあーるきょとえき
5	晴明神社	35.0277	135.752	http://ja.wikipedia.org/wiki/晴明神社	陰陽五行において金を克するのは	土	火	木	2	2013-02-02 14:32:38	2013-02-22 06:56:20	國居	せいめいじんじゃ
6	一条戻橋	35.0263	135.752	http://ja.wikipedia.org/wiki/一条戻橋	安倍晴明が使役したという式神、十二神将の一人、金毘羅童子は十二支のうち何の神か	亥	午	卯	1	2013-02-02 14:40:19	2013-02-22 07:32:50	國居	いちじょうもどりばし
7	貴船神社	35.1216	135.763	http://ja.wikipedia.org/wiki/貴船神社	丑の刻参りで頭にのせるのは	藁人形	五徳	五寸釘	2	2013-02-02 14:48:14	2013-02-22 07:33:10	國居	きふねじんじゃ
8	鉄輪の井	34.9982	135.763	http://www.city.kyoto.lg.jp/shimogyo/page/0000072733.html	鉄輪の井の「この井戸の水を飲むと縁が切れる」という伝説は何から生まれたといわれているか？	平家物語	源平盛衰記	太平記	2	2013-02-02 14:55:10	2013-02-23 15:53:42	國居	かなわのい
9	仁和寺	35.0281	135.714	http://ja.wikipedia.org/wiki/仁和寺	この寺にある御室八十八ヶ所霊場とは四国にある八十八ヶ所霊場に行けない人用に用意されているが、この八十八ヶ所霊場は誰にゆかりのある霊場か	兼好法師	西行	空海	3	2013-02-02 15:03:50	2013-02-22 07:34:31	國居	にんなじ
10	賀茂大橋	35.029	135.772	http://ja.wikipedia.org/wiki/葵祭	葵祭の斎王列を見物しようと車争いを演じた場面が登場するのは	源氏物語	平家物語	今昔物語	1	2013-02-02 17:45:04	2013-02-22 07:35:12	國居	かもおおはし
11	白峰神社	35.0298	135.753	http://ja.wikipedia.org/wiki/白峯神宮	この神社に祀られている崇徳上皇はどこに流刑となったか	讃岐	淡路	隠岐	1	2013-02-02 17:53:19	2013-02-23 16:07:55	國居	しらみねじんじゃ
12	高瀬川	35.0125	135.77	http://ja.wikipedia.org/wiki/高瀬川_(京都府)	森鴎外の高瀬舟で喜助が殺したのは	父	母	兄弟	3	2013-02-02 17:59:00	2013-02-22 07:35:56	國居	たかせがわ
