id	name	latitude	longitude	url	question	answer1	answer2	answer3	correct	created_at	updated_at	author
1	清水寺	35.111	135.222	http://ja.wikipedia.org/wiki/清水寺	810年の薬子の変では平城上皇の脱出を阻止する働きをしたのは誰？	坂上田村麻呂	藤原仲成	文室綿麻呂	1	2013-01-26 04:21:20	2013-01-31 01:20:44	國居
2	龍安寺	35.0345	135.718	http://www.ryoanji.jp/top.html	龍安寺石庭の石の数は？	9個	12個	15個	3	2013-01-26 07:25:51	2013-02-05 05:01:22	臼谷
3	京都タワー	34.9875	135.759	http://www.kyoto-tower.co.jp	京都駅の真正面に見える京都タワー。 京都タワービルの地下にある施設は何？	レストラン	宴会場	大浴場	3	2013-01-29 04:05:15	2013-01-31 01:20:31	臼谷
4	JR京都駅	34.9855	135.758	http://ja.wikipedia.org/wiki/京都駅	日本一長いホームとして知られるJR京都駅のホームの長さは？	558m	672m	773m	1	2013-02-02 04:35:21	2013-02-05 07:55:17	臼谷
5	晴明神社	35.0277	135.752	http://ja.wikipedia.org/wiki/晴明神社	陰陽五行において金を克するのは	土	火	木	2	2013-02-02 14:32:38	2013-02-07 04:28:58	國居貴浩
6	一条戻橋	35.0263	135.752	http://ja.wikipedia.org/wiki/一条戻橋	安倍晴明が使役したという式神、十二神将の一人、金毘羅童子は十二支のうち何の神か	亥	午	卯	1	2013-02-02 14:40:19	2013-02-07 04:27:39	國居貴浩
7	貴船神社	NULL	NULL		丑の刻参りで頭にのせるのは	藁人形	五徳	五寸釘	2	2013-02-02 14:48:14	2013-02-02 14:48:14	國居貴浩
8	鉄輪の井	34.9982	135.763	http://www.city.kyoto.lg.jp/shimogyo/page/0000072733.html	「この井戸の水を飲むと縁が切れる」という伝説は何から生まれたといわれているか？	平家物語	源平盛衰記	太平記	2	2013-02-02 14:55:10	2013-02-07 05:41:29	國居貴浩
9	仁和寺	35.0281	135.714	http://ja.wikipedia.org/wiki/仁和寺	この寺にある御室八十八ヶ所霊場とは四国にある八十八ヶ所霊場に行けない人用に用意されているが、この八十八ヶ所霊場は誰にゆかりのある霊場か	兼好法師	西行	空海	3	2013-02-02 15:03:50	2013-02-07 04:33:32	國居
10	賀茂大橋	35.029	135.772	http://ja.wikipedia.org/wiki/葵祭	葵祭の斎王列を見物しようと車争いを演じた場面が登場するのは	源氏物語	平家物語	今昔物語	1	2013-02-02 17:45:04	2013-02-07 05:04:13	國居
11	白峰神社	35.0298	135.753	http://ja.wikipedia.org/wiki/白峯神宮	祀られている崇徳上皇はどこに流刑となったか	讃岐	淡路	隠岐	1	2013-02-02 17:53:19	2013-02-07 04:29:57	國居
12	高瀬川	35.0125	135.77	http://ja.wikipedia.org/wiki/高瀬川_(京都府)	森鴎外の高瀬舟で喜助が殺したのは	父	母	兄弟	3	2013-02-02 17:59:00	2013-02-07 05:55:29	國居
13	方広寺	34.992	135.772	http://ja.wikipedia.org/wiki/方広寺	方広寺鐘銘事件として有名な梵鐘の銘文は、何の原因となったか	関ヶ原の役	大坂の陣	大塩平八郎の乱	2	2013-02-02 18:11:32	2013-02-07 04:47:01	國居
14	六道珍皇寺	34.9983	135.775	http://ja.wikipedia.org/wiki/六道珍皇寺	寺院内の井戸を通って冥界に通ったと伝わっている人物は	空海	小野篁	慶俊	2	2013-02-02 18:16:10	2013-02-07 04:38:42	國居
15	東寺	34.9821	135.748	http://ja.wikipedia.org/wiki/東寺	神泉苑で空海と雨乞いの対決をしたのは	守敏	勤操	明恵	1	2013-02-02 18:25:47	2013-02-07 04:50:13	國居
16	西寺跡	34.9808	135.738	http://ja.wikipedia.org/wiki/西寺	西寺を守敏に下賜したのは	桓武天皇	嵯峨天皇	平城天皇	2	2013-02-02 18:35:01	2013-02-07 05:13:17	國居
17	神泉苑	35.011	135.748	http://ja.wikipedia.org/wiki/神泉苑	神泉苑には何が住むと言われているか	不動明王	竜神	聖観音	2	2013-02-02 18:39:27	2013-02-07 04:52:18	國居
18	羅城門跡	34.9794	135.743	http://ja.wikipedia.org/wiki/羅城門	今昔物語で羅城門に住む鬼にとられたのは何か	琵琶	月琴	箏	1	2013-02-02 18:45:00	2013-02-07 05:11:13	國居
19	八坂神社	35.0037	135.777	http://ja.wikipedia.org/wiki/八坂神社	この神社の祭神は何か	素戔嗚尊	猿田彦大神	木花之佐久夜毘売	1	2013-02-02 18:50:38	2013-02-07 04:36:04	國居
20	鹿苑寺（金閣寺）	35.0392	135.732	http://ja.wikipedia.org/wiki/鹿苑寺	金閣寺放火事件を題材にした「金閣炎上」を書いた作家は	三島由紀夫	水上勉	司馬遼太郎	2	2013-02-02 18:55:37	2013-02-07 05:16:50	國居
21	慈照寺(銀閣寺)	35.0272	135.798	http://ja.wikipedia.org/wiki/銀閣寺	銀閣寺の正式名は	鹿苑寺	慈照寺	相国寺	2	2013-02-02 19:00:53	2013-02-07 05:43:11	國居
22	大徳寺	35.0408	135.747	http://ja.wikipedia.org/wiki/大徳寺	応仁の乱で焼失した伽藍を復興させるのに尽力したのは	豊臣秀吉	千利休	一休宗純	3	2013-02-02 19:07:09	2013-02-07 04:42:56	國居
23	南禅寺	35.0111	135.792	http://ja.wikipedia.org/wiki/南禅寺	歌舞伎の石川五右衛門が「絶景かな絶景かな……」といったのはどの建物の上でか	勅使門	三門	大方丈	2	2013-02-02 19:18:34	2013-02-07 04:41:01	國居
24	神馬堂	35.058	135.752		有名なお菓子といえば？	やきもち	まめもち	きなこもち	1	2013-02-03 23:35:28	2013-02-03 23:35:28	荻
25	平安神宮	NULL	NULL	http://ja.wikipedia.org/wiki/平安神宮	国の登録有形文化財に登録されている平安神宮の大鳥居の高さは？	16.9m	20.5m	24.4m	3	2013-02-04 11:00:38	2013-02-04 11:00:38	藤原
26	醍醐寺	NULL	NULL	http://www.daigoji.or.jp/index.html	醍醐寺で「醍醐の花見」を行ったのは誰か	織田信長	豊臣秀吉	徳川家康	2	2013-02-04 11:29:04	2013-02-04 11:29:04	藤原
27	伏見稲荷大社	NULL	NULL	http://inari.jp/	伏見稲荷大社の参道にはどれくらいの鳥居が立っているでしょう？	約一千基	約五千基	約一万基	3	2013-02-04 12:20:41	2013-02-04 12:20:41	藤原
28	相国寺	35.0331	135.762	http://ja.wikipedia.org/wiki/相国寺	堂内で手を打つと聞こえるものは？	鳴き犬	鳴き猫	鳴き龍	3	2013-02-05 00:12:21	2013-02-05 00:12:21	荻
29	京都国際マンガミュージアム	35.0117	135.759	http://www.kyotomm.jp	京都国際マンガミュージアムの館長は？	養老孟司	茂木健一郎	山内昌之	1	2013-02-05 04:40:32	2013-02-05 05:00:24	臼谷
30	三十三間堂	34.9879	135.772	http://sanjusangendo.jp	三十三間堂の通し矢が始まったのはいつの時代？	鎌倉時代	室町時代	桃山時代	3	2013-02-05 04:56:36	2013-02-05 04:56:36	臼谷
31	建仁寺	35.001	135.774	http://www.kenninji.jp	建仁寺の山号は？	東山	西山	南山	1	2013-02-05 05:16:07	2013-02-05 05:16:07	臼谷
32	京都水族館	34.9876	135.748	http://www.kyoto-aquarium.com	京都水族館の京の川ゾーン、京の川とは？	堀川	桂川	鴨川	3	2013-02-05 05:31:28	2013-02-05 05:59:20	臼谷
33	梅小路蒸気機関車館	34.9851	135.739	http://www.mtm.or.jp/uslm/	梅小路蒸気機関車館で、体験乗車できるのは？	SLやえもん号	SLスチーム号	SL轟天号	2	2013-02-05 06:07:40	2013-02-05 06:09:56	臼谷
34	豊国神社	34.9914	135.773	http://ja.wikipedia.org/wiki/豊国神社_(京都市)	豊臣秀吉が祀るように遺言したのは？	天香山命	八幡神	大国主	2	2013-02-05 06:22:01	2013-02-05 06:22:01	臼谷
35	北野天満宮	35.0311	135.735	http://kitanotenmangu.or.jp	北野天満宮の神紋は？	星梅鉢紋	柏紋	花散里紋	1	2013-02-05 06:36:18	2013-02-05 06:36:18	臼谷
36	東本願寺	34.991	135.758	http://www.higashihonganji.or.jp	御影堂の構造は？	入母屋造	切妻造	宝形造	1	2013-02-05 06:43:14	2013-02-05 06:43:14	臼谷
37	すし岩	34.9901	135.762	http://www.sushiiwa.jp	人生で最も美味しかったと絶賛したのは誰？	スティーブ・ウォズニアック	スティーブ・ジョブズ	ビル・ゲイツ	2	2013-02-05 06:54:12	2013-02-05 06:54:12	臼谷
38	西芳寺	34.992	135.683	http://ja.wikipedia.org/wiki/西芳寺	西芳寺の別名は？	禅寺	萌寺	苔寺	3	2013-02-05 06:59:19	2013-02-05 06:59:19	臼谷
39	松尾大社	35	135.685	http://www.matsunoo.or.jp	松尾大社が記されるのは？	古事記	日本書紀	風土記	1	2013-02-05 07:06:11	2013-02-05 07:06:11	臼谷
40	二尊院	35.0212	135.668	http://ja.wikipedia.org/wiki/二尊院	応仁の乱で全焼した二尊院を再建したのは誰？	細川晴元	勧修寺教秀	三条西実隆	3	2013-02-05 07:11:42	2013-02-05 07:11:42	臼谷
41	等持院	35.0316	135.723	http://ja.wikipedia.org/wiki/等持院	等持院の山号は？	百年山	千年山	万年山	3	2013-02-05 07:16:43	2013-02-05 07:16:43	臼谷
42	イオンモールKYOTO	34.9827	135.755	http://kyoto-aeonmall.com/index.jsp	イオンモールKYOTOがグランドオープンしたのはいつ？	2009年	2010年	2011年	2	2013-02-05 07:26:13	2013-02-05 07:26:13	臼谷
43	京都ヨドバシ	34.9882	135.759	http://www.yodobashi-kyoto.com	京都ヨドバシがオープンしたのはいつ？	2009年	2010年	2011年	2	2013-02-05 07:29:56	2013-02-05 07:29:56	臼谷
44	四条烏丸	35.0039	135.759	http://ja.wikipedia.org/wiki/四条烏丸	かつて四条烏丸に、存在していたものは？	京都地方裁判所	京都証券取引所	京都中央郵便局	2	2013-02-05 07:46:21	2013-02-05 07:47:19	臼谷
45	五条大橋	34.9957	135.768	http://ja.wikipedia.org/wiki/五条大橋	石柱の橋に改修したのは五奉行の誰？	増田長盛	長束正家	前田玄以	1	2013-02-05 07:54:24	2013-02-05 07:57:09	臼谷
46	下鴨神社	35.0384	135.773	http://ja.wikipedia.org/wiki/賀茂御祖神社	下鴨の茶屋が発祥とされる和菓子は？	いちご大福	もなか	みたらし団子	3	2013-02-05 09:25:51	2013-02-07 04:31:15	原田
47	京都市動物園	NULL	NULL	http://www5.city.kyoto.jp/zoo/	この動物園で繁殖に力を入れており、平成23年に日本初の4世が誕生した動物の種類は？	ゴリラ	マントヒヒ	テナガザル	1	2013-02-05 09:47:35	2013-02-06 00:02:30	原田
48	井上六郎商店	34.9882	135.76	http://www006.upp.so-net.ne.jp/inouerokurou/	看板犬の名前は？	うーろん	げんまい	せん	2	2013-02-05 23:23:09	2013-02-05 23:23:09	荻
49	糺の森	35.0354	135.772	http://ja.wikipedia.org/wiki/糺の森	この原生林に生えている木で一番多いものは？	ムクノキ	ケヤキ	エノキ	1	2013-02-05 23:34:55	2013-02-05 23:34:55	荻
50	修学院離宮	35.0539	135.804	http://ja.wikipedia.org/wiki/修学院離宮	「天下三棚」の一つ、霞棚があるのはどこ？	下御茶屋	中御茶屋	上御茶屋	2	2013-02-05 23:44:14	2013-02-05 23:44:14	荻
51	京都コンサートホール	35.0499	135.767	http://ja.wikipedia.org/wiki/京都コンサートホール	大ホールに設置されている国内最大級の楽器は？	バイオリン	グランドピアノ	パイプオルガン	3	2013-02-06 00:15:24	2013-02-06 00:15:24	荻
52	京都国立博物館	NULL	NULL	http://www.kyohaku.go.jp/jp/index_top.html	特別展示館と噴水の間に設置されている像は？	ダビデ像	考える人	初代館長の胸像	2	2013-02-06 09:09:30	2013-02-06 09:09:30	原田
53	壬生寺	35.0022	135.744	http://ja.wikipedia.org/wiki/壬生寺	新選組ゆかりの寺であるが、境内に銅像があるのは？	近藤勇	沖田総司	藤堂平助	1	2013-02-06 23:21:23	2013-02-06 23:21:23	荻
54	錦市場	35.005	135.764	http://ja.wikipedia.org/wiki/錦市場	京料理の食材がほとんどがそろうこの場所は？	黒門市場	錦市場	黒潮市場	2	2013-02-06 23:45:34	2013-02-06 23:45:34	荻
55	西利	34.9897	135.753	http://www.nishiri.co.jp	総理大臣賞を受賞した漬け物は？	すぐき	生しば漬	西利の千枚漬	3	2013-02-06 23:59:53	2013-02-06 23:59:53	荻
