id	landmark_id	tag_id	created_at	updated_at
1	1	1	2013-02-02 11:21:28	2013-02-02 11:21:28
2	1	2	2013-02-02 11:21:28	2013-02-02 11:21:28
3	1	3	2013-02-02 11:21:28	2013-02-02 11:21:28
4	1	4	2013-02-02 11:21:28	2013-02-02 11:21:28
5	1	5	2013-02-02 11:21:28	2013-02-02 11:21:28
6	2	6	2013-02-02 11:21:28	2013-02-02 11:21:28
7	2	7	2013-02-02 11:21:28	2013-02-02 11:21:28
8	2	8	2013-02-02 11:21:28	2013-02-02 11:21:28
9	2	9	2013-02-02 11:21:28	2013-02-02 11:21:28
10	3	10	2013-02-02 11:21:28	2013-02-02 11:21:28
11	3	11	2013-02-02 11:21:28	2013-02-02 11:21:28
12	4	10	2013-02-02 11:22:18	2013-02-02 11:22:18
13	5	12	2013-02-02 14:33:01	2013-02-02 14:33:01
14	6	12	2013-02-02 14:40:19	2013-02-02 14:40:19
15	6	13	2013-02-02 14:41:48	2013-02-02 14:41:48
16	6	14	2013-02-02 14:41:48	2013-02-02 14:41:48
17	7	13	2013-02-02 14:48:14	2013-02-02 14:48:14
18	7	15	2013-02-02 14:48:14	2013-02-02 14:48:14
19	7	16	2013-02-02 14:48:14	2013-02-02 14:48:14
20	7	17	2013-02-02 14:48:14	2013-02-02 14:48:14
21	8	13	2013-02-02 14:55:10	2013-02-02 14:55:10
22	8	18	2013-02-02 14:55:10	2013-02-02 14:55:10
23	8	19	2013-02-02 14:55:10	2013-02-02 14:55:10
24	8	16	2013-02-02 14:55:10	2013-02-02 14:55:10
25	9	12	2013-02-02 15:03:50	2013-02-02 15:03:50
26	9	20	2013-02-02 15:03:50	2013-02-02 15:03:50
27	10	21	2013-02-02 17:45:04	2013-02-02 17:45:04
28	10	22	2013-02-02 17:45:04	2013-02-02 17:45:04
29	10	23	2013-02-02 17:45:04	2013-02-02 17:45:04
30	10	24	2013-02-02 17:45:04	2013-02-02 17:45:04
31	10	25	2013-02-02 17:45:04	2013-02-02 17:45:04
32	10	26	2013-02-02 17:45:04	2013-02-02 17:45:04
33	11	27	2013-02-02 17:53:19	2013-02-02 17:53:19
34	11	28	2013-02-02 17:53:19	2013-02-02 17:53:19
35	11	29	2013-02-02 17:53:19	2013-02-02 17:53:19
36	11	30	2013-02-02 17:53:19	2013-02-02 17:53:19
37	12	23	2013-02-02 17:59:00	2013-02-02 17:59:00
