id	name	created_at	updated_at
1	坂上田村麻呂	2013-02-02 11:21:28	2013-02-02 11:21:28
2	源氏物語	2013-02-02 11:21:28	2013-02-02 11:21:28
3	真言宗	2013-02-02 11:21:28	2013-02-02 11:21:28
4	806年	2013-02-02 11:21:28	2013-02-02 11:21:28
5	清水観音	2013-02-02 11:21:28	2013-02-02 11:21:28
6	臨済宗	2013-02-02 11:21:28	2013-02-02 11:21:28
7	日本庭園	2013-02-02 11:21:28	2013-02-12 07:46:43
8	1450年	2013-02-02 11:21:28	2013-02-02 11:21:28
9	禅	2013-02-02 11:21:28	2013-02-02 11:21:28
10	観光	2013-02-02 11:21:28	2013-02-11 04:38:50
11	展望台	2013-02-02 11:21:28	2013-02-02 11:21:28
12	安倍晴明	2013-02-02 14:33:01	2013-02-02 14:33:01
13	丑の刻参り	2013-02-02 14:41:48	2013-02-02 14:41:48
14	平家	2013-02-02 14:41:48	2013-02-02 14:41:48
15	和泉式部	2013-02-02 14:48:14	2013-02-02 14:48:14
16	鉄輪	2013-02-02 14:48:14	2013-02-02 14:48:14
17	式神	2013-02-02 14:48:14	2013-02-02 14:48:14
18	哲学の道	2013-02-02 14:55:10	2013-02-02 14:55:10
19	源平盛衰記	2013-02-02 14:55:10	2013-02-02 14:55:10
20	空海	2013-02-02 15:03:50	2013-02-02 15:03:50
21	下鴨神社	2013-02-02 17:45:04	2013-02-02 17:45:04
22	賀茂川	2013-02-02 17:45:04	2013-02-02 17:45:04
23	鴨川	2013-02-02 17:45:04	2013-02-02 17:45:04
24	上賀茂神社	2013-02-02 17:45:04	2013-02-02 17:45:04
25	葵祭	2013-02-02 17:45:04	2013-02-02 17:45:04
26	流鏑馬	2013-02-02 17:45:04	2013-02-02 17:45:04
27	崇徳上皇	2013-02-02 17:53:19	2013-02-02 17:53:19
28	祇園祭	2013-02-02 17:53:19	2013-02-02 17:53:19
29	四国	2013-02-02 17:53:19	2013-02-02 17:53:19
30	保元の乱	2013-02-02 17:53:19	2013-02-02 17:53:19
31	方広寺	2013-02-02 17:59:00	2013-02-02 17:59:00
32	森鴎外	2013-02-02 17:59:00	2013-02-02 17:59:00
33	東福寺	2013-02-02 18:11:32	2013-02-02 18:11:32
34	南禅寺	2013-02-02 18:11:32	2013-02-02 18:11:32
35	豊臣秀吉	2013-02-02 18:11:32	2013-02-02 18:11:32
36	小野篁	2013-02-02 18:16:10	2013-02-02 18:16:10
37	羅城門	2013-02-02 18:25:47	2013-02-02 18:25:47
38	西寺	2013-02-02 18:25:47	2013-02-02 18:25:47
39	神泉苑	2013-02-02 18:25:47	2013-02-02 18:25:47
40	守敏	2013-02-02 18:25:47	2013-02-02 18:25:47
41	真言	2013-02-02 18:35:01	2013-02-02 18:35:01
42	二条城	2013-02-02 18:39:27	2013-02-02 18:39:27
43	東寺	2013-02-02 18:39:27	2013-02-02 18:39:27
44	朱雀大路	2013-02-02 18:45:00	2013-02-02 18:45:00
45	平安神宮	2013-02-02 18:45:00	2013-02-02 18:45:00
